Licence File field,Value,Magento SKU,Status,
ext-devices-xerox,,PCMF-EMB-XEROX,created,
ext-devices-fuji-xerox-aip,,PCMF-EMB-FUJIX,created,
ext-devices-lexmark ,,PCMF-EMB-LEX,created,
ext-devices-lexmark-prn ,,PCMF-EMB-LEX-PRN,created,
ext-devices-konica-minolta,,PCMF-EMB-KM,created,
ext-devices-kyocera-mita,,PCMF-EMB-KYO,created,
ext-devices-ricoh,,PCMF-EMB-RIC,created,
ext-devices-oki-prn,,PCMF-EMB-OKI-PRN,created,
ext-devices-oki,,PCMF-EMB-OKI,created,
ext-devices-brother,,PCMF-EMB-BRO,created,
ext-devices-hp,,PCMF-EMB-HP,created,
ext-devices-sharp-osa,,PCMF-EMB-SHA,created,
ext-devices-samsung,,PCMF-EMB-SAM,created,
ext-devices-toshiba-prn,,PCMF-EMB-TOSH-PRN,created,
ext-devices-toshiba,,PCMF-EMB-TOSH ,created,
ext-devices-dell-prn,,PCMF-EMB-DELL-PRN,created,
ext-devices-dell ,,PCMF-EMB-DELL ,created,
ext-devices-canon,,PCMF-EMB-CANON,created,
ext-devices-riso,,PCMF-EMB-RISO,created,
ext-devices-selectec,,PCMF-EMB-SELECTEC,created,
ext-devices-cartadis-cpad,,PCMF-CPAD,created,
ext-devices-copicode-ip,,PCMF-CC,created,
ext-devices-print-release-card,,PCMF-FR,created,
ext-devices-vcc,,PCMF-VCC,created,
advanced-clients-licensed,,PCMF-ADV,created,
release-stations-licensed,,PCMF-PRS,created,
extra-paper-less-widget,,PCMF-PLE-WIDGET,created,
payment-gateways-paypal-payflow,,PCMF-OPG-PAYFLO,created,
payment-gateways-paypal-wps,,PCMF-OPG-PAYPAL,created,
payment-gateways-my-student-account,,PCMF-OPG-MSA,created,
payment-gateways-commweb,,PCMF-OPG-COMWEB,created,
payment-gateways-txn-file,,PCMF-OPG-TFPG,created,
payment-gateways-????,,PCMF-OPG-API,created,**Need to find out licence value
payment-gateways-monwa,,PCMF-HPG-MONWA,created,
payment-gateways-vcc,,PCMF-HPG-VCC,created,
payment-gateways-pc-pay,,PCMF-HPG-PAY,created,
support-assurance-1,,PCMF-PUA-1,created,
support-assurance-2,,PCMF-PUA-2,created,
support-assurance-3,,PCMF-PUA-3,created,
support-assurance-4,,PCMF-PUA-4,created,
support-assurance-5,,PCMF-PUA-5,created,
,,,,Cartadis cPad Value Loader
,,,,Cartadis CopiCode-IP Cash Loader
site-servers-licensed,,PCMF-SS,created,
,,,,
organization-type,COMMERCIAL,PCMF-COMM,created,
organization-type,EDUCATIONAL,PCMF-EDU,created,
organization-type,PROFESSIONAL,PCMF-PRO,created,
users-licensed,e.g. 100,Enter as Qty for organization type,N/A,
edition,MF,Determines Edition,N/A,
,,,,
organization-type,COMMERCIAL,PCNG-COMM,created,
organization-type,EDUCATIONAL,PCNG-EDU,created,
organization-type,PROFESSIONAL,PCNG-PRO,created,
users-licensed,e.g. 100,Enter as Qty for organization type,N/A,
edition,NG,Determines Edition,N/A,
